System	Total_Individuals	Individual_FP	YearRate	round	age	rrisk	crisk	erisk
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	7	57	0.9950507408387662	0.9610850441561725	0.03959407328987036
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	8	58	0.9950507408387662	0.9563283851966577	0.04454333245110415
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	9	59	0.9950507408387662	0.9515952681750752	0.04949259161233795
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	10	60	0.9950507408387662	0.946885576576273	0.05444185077357174
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	11	61	0.9950507408387662	0.9421991944617628	0.059391109934805536
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	12	62	0.9950507408387662	0.9375360064668659	0.06434036909603932
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	13	63	0.9950507408387662	0.9328958977978732	0.06928962825727313
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	14	64	0.9950507408387662	0.9282787542292196	0.07423888741850693
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	15	65	0.9950507408387662	0.9236844621006719	0.07918814657974071
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	16	66	0.9950507408387662	0.9191129083145309	0.0841374057409745
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	17	67	0.9950507408387662	0.9145639803328469	0.0890866649022083
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	18	68	0.9950507408387662	0.9100375661746501	0.0940359240634421
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	19	69	0.9950507408387662	0.9055335544131934	0.0989851832246759
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	20	70	0.9950507408387662	0.9010518341732093	0.10393444238590968
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	21	71	0.9950507408387662	0.8965922951281811	0.10888370154714348
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	22	72	0.9950507408387662	0.8921548274976263	0.11383296070837728
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	23	73	0.9950507408387662	0.8877393220443947	0.11878221986961107
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	24	74	0.9950507408387662	0.883345670071979	0.12373147903084486
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	25	75	0.9950507408387662	0.8789737634218391	0.12868073819207865
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	26	76	0.9950507408387662	0.8746234944707394	0.13362999735331246
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	27	77	0.9950507408387662	0.8702947561280998	0.13857925651454625
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	28	78	0.9950507408387662	0.8659874418333591	0.14352851567578004
mced_all	99830.3652938696	494.0863500000004	0.004949259161233795	29	79	0.9950507408387662	0.8617014455533518	0.14847777483701385
